winrate,opening_kills,multikills,5v4,4v5,trades,grenades_damage,flash_assists
52.5,49.1,0.79,77.0,28.9,20.9,25.7,0.28
50.0,51.9,0.81,71.3,26.9,18.6,25.2,0.2
51.6,47.3,0.84,74.6,30.8,20.3,17.4,0.2
50.6,49.9,0.84,72.4,28.7,21.9,28.6,0.24
50.2,52.9,0.81,72.4,25.0,20.3,21.8,0.19
52.0,54.0,0.81,69.6,31.3,20.9,25.9,0.23
48.9,50.2,0.79,73.5,24.2,19.6,20.5,0.21
50.8,50.1,0.79,74.2,27.3,19.2,18.9,0.25
50.6,48.0,0.8,76.7,26.6,18.4,30.5,0.19
48.7,48.2,0.82,71.6,27.2,19.5,15.2,0.15
51.4,48.4,0.84,71.1,32.7,23.0,16.8,0.22
48.7,44.7,0.83,71.2,30.4,18.6,21.3,0.31
49.1,48.1,0.86,70.7,28.8,21.1,17.0,0.1
48.7,50.9,0.78,70.2,26.6,20.7,15.8,0.13
49.5,46.6,0.79,77.3,25.5,20.6,20.0,0.22
49.6,49.7,0.81,74.7,24.8,20.0,20.4,0.22
50.3,45.8,0.81,75.4,29.1,18.5,25.6,0.25
51.8,50.9,0.75,75.1,27.7,17.2,16.2,0.2
49.5,51.0,0.76,70.2,27.8,17.3,21.4,0.19
48.2,45.3,0.82,71.6,28.4,19.0,20.8,0.15
48.5,49.4,0.78,67.9,29.5,20.2,18.9,0.17
48.3,47.7,0.8,72.5,26.2,17.0,17.7,0.19
47.8,49.3,0.76,69.8,26.4,18.8,21.6,0.26
47.8,46.9,0.8,72.8,25.8,19.5,24.1,0.21
45.6,47.7,0.78,68.3,24.8,20.4,15.6,0.3
46.7,48.8,0.76,70.2,24.4,19.8,20.9,0.26
45.8,48.5,0.8,64.6,28.1,16.9,18.3,0.19
45.5,49.0,0.73,65.5,26.5,22.0,22.6,0.16
46.7,50.2,0.78,67.9,25.5,19.8,14.7,0.21
46.1,42.9,0.8,71.8,26.6,17.4,19.9,0.16
45.9,47.3,0.77,65.1,28.8,18.1,22.3,0.17
45.0,47.1,0.77,68.2,24.5,18.4,15.3,0.23
44.0,47.0,0.73,68.3,22.6,17.2,19.1,0.25
40.7,46.8,0.72,63.0,21.2,17.3,17.1,0.23
63.6,55.4,1.01,83.3,39.1,22.6,17.4,0.21
60.8,58.6,0.96,80.2,33.2,23.7,24.5,0.21
60.6,60.4,0.97,80.2,30.5,21.4,25.9,0.23
60.4,56.1,0.96,79.4,36.3,22.8,18.2,0.27
59.3,53.6,0.92,78.8,36.8,23.2,23.7,0.24
58.2,53.3,0.88,78.6,34.8,20.8,22.9,0.22
56.6,56.6,0.89,75.1,32.4,21.6,17.4,0.15
56.1,53.4,0.89,75.3,34.3,20.9,24.0,0.23
57.8,54.1,0.86,78.7,32.8,22.9,19.8,0.22
59.3,51.8,0.83,79.6,37.6,23.0,21.1,0.23
54.7,50.6,0.9,76.9,31.8,23.0,16.8,0.19
55.1,51.8,0.87,77.0,31.8,22.8,22.2,0.21
56.4,54.5,0.87,74.4,34.8,19.5,25.2,0.2
55.3,52.8,0.87,76.2,31.9,19.8,28.2,0.21
55.7,52.8,0.84,75.2,33.9,21.8,24.4,0.22
54.1,55.4,0.86,74.7,28.5,21.2,15.7,0.26
53.7,54.8,0.88,74.0,29.1,20.5,14.3,0.21
53.1,55.9,0.82,71.4,30.0,21.6,22.9,0.25
52.9,52.0,0.83,72.6,31.8,22.3,21.1,0.21
53.7,52.7,0.87,73.2,31.9,19.6,27.6,0.22
53.1,54.2,0.82,76.4,25.2,20.0,20.9,0.17
54.1,51.2,0.85,76.3,30.9,22.5,23.0,0.21
53.5,52.1,0.86,76.5,28.5,20.7,19.7,0.27
54.1,48.3,0.86,80.0,29.9,21.2,23.4,0.19
51.7,51.5,0.83,75.8,26.2,20.6,19.6,0.14
53.5,52.2,0.85,74.9,30.2,19.1,16.7,0.17
55.3,51.4,0.82,74.2,35.3,19.9,20.2,0.21
54.7,54.2,0.85,76.5,28.7,21.1,22.6,0.27
53.1,51.5,0.84,74.4,30.6,18.8,16.7,0.2
52.6,51.1,0.85,75.6,28.7,19.2,19.9,0.16
52.0,49.6,0.85,75.8,28.5,21.7,14.2,0.25
51.9,54.1,0.84,72.6,27.6,20.3,19.9,0.21
52.3,52.7,0.84,74.6,27.6,18.8,18.9,0.24
51.5,55.5,0.84,71.5,26.4,18.7,21.3,0.15
49.8,50.6,0.85,71.4,27.7,19.6,18.4,0.29
53.0,49.3,0.83,77.1,29.4,19.0,23.0,0.22
54.0,51.6,0.85,79.3,27.0,21.3,22.2,0.23
52.8,46.8,0.82,79.3,29.2,24.3,17.9,0.21
51.7,50.5,0.82,73.3,29.7,19.1,13.8,0.15
52.3,53.0,0.78,75.8,25.7,18.2,24.4,0.35
52.4,48.0,0.84,74.9,31.8,20.1,22.5,0.23
51.1,52.9,0.76,73.1,26.3,18.4,22.4,0.3
49.9,49.7,0.83,69.7,30.4,20.8,26.0,0.2
52.4,49.9,0.84,72.9,31.9,18.6,22.9,0.24
51.5,50.2,0.79,76.4,26.5,18.2,18.9,0.23
50.6,49.4,0.82,72.0,29.4,20.2,18.4,0.19
50.8,47.5,0.82,74.8,29.0,18.7,24.2,0.21
49.0,47.5,0.8,72.2,28.1,19.4,23.9,0.22
48.9,49.5,0.82,69.2,28.7,19.8,17.9,0.16
49.2,48.7,0.82,73.2,26.5,18.3,19.0,0.19
47.3,49.9,0.82,72.3,22.6,21.9,18.1,0.27
50.3,47.4,0.82,75.9,27.2,18.7,19.8,0.27
48.3,50.6,0.8,68.8,27.4,18.9,25.6,0.25
48.9,51.9,0.76,73.0,22.9,18.1,19.5,0.16
49.3,45.8,0.85,74.6,28.1,21.5,12.1,0.25
45.8,52.2,0.78,68.7,20.7,18.8,18.4,0.2
49.2,48.6,0.78,73.5,26.2,19.7,13.6,0.17
49.0,48.7,0.79,72.1,26.9,20.0,23.7,0.24
48.7,43.3,0.82,73.4,30.0,20.6,19.6,0.16
47.8,49.4,0.8,68.7,27.4,19.5,16.1,0.19
48.0,50.2,0.8,71.2,24.6,19.1,23.0,0.16
47.8,47.2,0.79,69.1,28.9,18.8,14.6,0.16
49.1,48.9,0.76,72.9,26.2,21.0,20.5,0.22
49.7,49.9,0.77,71.9,27.6,20.0,18.2,0.25
46.4,47.3,0.8,72.4,23.1,18.5,19.2,0.29
47.0,47.5,0.78,69.3,26.6,19.6,22.3,0.32
48.7,46.1,0.8,73.2,27.9,18.4,17.0,0.2
48.1,50.1,0.76,69.2,26.9,19.3,24.7,0.24
47.2,47.0,0.78,69.0,28.0,16.8,20.6,0.17
46.2,49.8,0.75,69.9,22.8,17.4,21.4,0.13
46.3,50.6,0.8,72.3,20.0,19.7,14.1,0.18
47.5,46.7,0.79,70.3,27.5,18.8,21.3,0.18
46.3,46.4,0.76,70.7,25.0,20.1,20.9,0.19
46.4,47.6,0.76,68.6,26.2,18.7,16.9,0.21
45.9,48.8,0.75,70.0,23.1,19.0,17.1,0.19
44.4,48.1,0.78,66.8,23.8,19.5,14.4,0.12
43.6,45.8,0.81,68.6,22.5,15.5,20.5,0.16
46.8,46.3,0.77,69.2,27.3,17.9,23.1,0.2
66.5,57.9,0.97,83.1,43.6,24.6,18.0,0.22
57.4,54.6,0.92,76.2,34.9,21.0,20.5,0.23
58.1,53.8,0.9,80.3,32.2,20.9,22.6,0.23
59.6,54.9,0.87,77.2,38.1,19.3,28.2,0.23
60.9,54.3,0.96,78.9,39.3,23.4,25.4,0.24
59.2,51.9,0.87,79.9,36.9,24.7,25.4,0.22
58.9,54.6,0.87,79.2,34.6,24.3,26.0,0.21
54.6,49.7,0.89,74.9,34.6,21.2,25.8,0.23
56.9,51.0,0.9,75.5,37.5,21.8,14.7,0.26
54.0,52.3,0.89,73.8,32.3,20.2,25.2,0.23
57.0,53.4,0.85,78.2,32.8,23.7,18.2,0.22
54.7,50.0,0.86,76.6,32.7,22.3,19.0,0.23
55.0,50.1,0.88,76.0,34.0,22.8,24.0,0.27
53.3,54.5,0.84,71.9,31.3,20.8,30.5,0.24
54.9,53.5,0.84,79.3,26.6,20.0,21.1,0.25
51.8,53.7,0.88,72.7,27.6,17.3,20.2,0.15
52.9,53.9,0.89,74.9,27.0,19.7,15.9,0.18
52.9,54.6,0.86,73.7,28.0,19.3,16.9,0.18
53.3,52.6,0.84,75.3,28.9,19.7,19.1,0.2
52.0,51.9,0.79,73.5,28.9,20.7,15.9,0.15
51.5,52.4,0.81,69.5,31.8,20.8,19.7,0.26
51.2,51.9,0.83,70.8,30.0,17.3,14.0,0.26
51.9,53.2,0.86,69.8,31.2,20.9,19.2,0.29
50.9,50.2,0.85,74.2,27.4,21.8,20.9,0.26
54.2,49.6,0.82,71.7,37.0,20.7,26.8,0.29
50.7,54.7,0.78,77.1,18.4,20.7,25.8,0.2
50.3,47.2,0.84,75.8,27.6,18.6,27.8,0.26
53.0,51.4,0.81,73.8,31.1,22.2,23.6,0.13
51.4,51.4,0.85,74.1,27.4,21.4,24.5,0.16
51.6,50.2,0.85,72.9,30.0,19.1,14.1,0.21
51.8,50.8,0.83,71.2,31.7,18.9,22.9,0.33
49.5,49.8,0.84,70.3,28.8,18.9,17.0,0.24
50.5,53.4,0.82,72.7,25.1,20.5,22.2,0.22
49.6,51.6,0.82,72.0,25.6,18.9,19.0,0.16
51.0,53.0,0.8,71.9,27.6,19.2,17.7,0.32
51.4,48.6,0.82,74.4,29.6,20.2,18.6,0.25
49.6,46.8,0.79,73.0,28.8,19.4,19.8,0.2
47.5,44.7,0.81,69.9,29.4,19.0,21.3,0.19
49.8,49.4,0.81,74.9,25.4,20.1,18.1,0.23
46.3,50.5,0.77,69.5,22.7,18.0,20.5,0.15
47.8,47.4,0.79,69.0,28.7,20.9,17.3,0.19
47.3,47.7,0.75,69.2,27.2,17.6,17.0,0.2
45.9,46.0,0.74,70.5,24.7,17.5,18.6,0.31
43.3,45.3,0.77,67.0,23.7,17.1,18.9,0.17
42.5,43.2,0.72,68.9,22.5,18.5,16.7,0.14
42.6,43.6,0.71,69.7,21.6,16.2,19.8,0.29
62.9,59.4,0.99,79.6,38.6,25.2,18.7,0.23
59.0,55.1,0.9,77.2,36.4,19.2,22.4,0.34
56.8,55.5,0.89,79.3,28.9,22.1,18.1,0.31
58.3,56.7,0.89,75.4,35.7,21.1,28.3,0.27
56.5,52.3,0.91,75.1,36.1,20.3,19.1,0.18
57.4,55.1,0.93,76.2,34.4,22.5,13.6,0.27
55.5,53.5,0.9,76.2,31.8,22.4,23.8,0.3
53.8,53.2,0.85,73.3,31.8,20.0,20.7,0.18
54.1,52.8,0.92,75.0,30.7,18.4,15.4,0.16
51.8,51.1,0.85,73.4,29.0,21.8,26.6,0.2
52.5,50.7,0.84,76.8,27.4,18.1,22.2,0.25
49.6,50.0,0.86,70.5,28.6,20.4,16.7,0.16
51.6,49.0,0.83,73.2,30.9,20.1,22.6,0.23
53.7,55.8,0.84,76.1,25.6,19.1,25.3,0.22
53.8,52.5,0.84,73.9,31.6,20.8,21.3,0.28
55.8,51.5,0.84,76.8,33.7,20.3,24.2,0.28
56.0,53.6,0.86,76.1,32.9,22.0,18.6,0.22
57.7,52.2,0.86,75.2,38.8,21.1,19.6,0.23
48.8,51.4,0.83,68.1,28.0,22.0,22.9,0.29
49.6,48.4,0.85,74.3,26.1,19.7,25.9,0.21
52.7,47.8,0.79,79.2,28.6,20.6,20.1,0.23
50.6,50.6,0.81,73.4,27.7,20.5,19.5,0.24
51.0,50.1,0.82,71.4,30.4,22.2,15.5,0.23
49.5,50.7,0.81,70.7,27.1,20.3,15.7,0.16
50.8,49.2,0.75,74.4,28.1,18.8,14.5,0.16
49.3,51.1,0.78,72.7,25.4,18.5,23.0,0.27
47.9,47.9,0.82,71.2,26.5,21.8,25.7,0.22
51.6,50.3,0.79,73.7,29.4,18.9,14.7,0.17
48.4,47.8,0.78,72.2,26.4,19.4,27.1,0.31
49.9,48.5,0.77,72.5,28.6,16.3,18.5,0.26
46.1,46.7,0.73,71.3,24.1,18.3,22.7,0.29
48.3,50.6,0.74,75.7,20.4,18.5,15.1,0.2
45.4,47.4,0.73,68.9,24.4,16.6,19.3,0.22
45.3,47.3,0.67,71.1,22.2,16.4,19.3,0.24
42.3,43.0,0.71,65.8,24.4,20.4,16.6,0.21
41.5,46.9,0.7,64.8,21.0,19.0,18.7,0.22
39.3,42.8,0.71,63.3,21.1,17.0,11.6,0.18
56.2,52.5,0.91,78.1,31.9,20.6,21.5,0.19
55.5,53.8,0.87,76.9,30.4,19.6,21.8,0.26
55.4,55.3,0.87,74.6,31.5,21.5,14.1,0.16
55.7,53.9,0.87,78.3,29.6,21.5,16.4,0.16
54.8,52.2,0.86,77.1,30.5,20.2,23.9,0.29
55.8,53.8,0.84,76.9,31.3,21.6,21.0,0.24
53.6,52.0,0.84,71.1,34.6,19.6,19.8,0.21
53.1,55.2,0.81,76.1,24.7,21.1,18.3,0.34
54.1,53.7,0.87,73.6,31.6,18.4,22.6,0.35
53.2,54.9,0.83,73.8,28.3,19.6,21.2,0.19
52.8,49.6,0.83,75.0,30.6,19.1,28.1,0.26
55.8,50.9,0.86,78.4,32.4,20.7,20.4,0.24
54.4,51.4,0.81,74.8,32.8,21.1,18.9,0.24
53.2,49.9,0.88,75.5,30.9,21.8,20.0,0.23
54.1,55.2,0.86,75.8,27.3,17.9,14.5,0.23
51.0,51.8,0.82,72.5,27.8,18.3,29.1,0.23
53.9,51.4,0.87,71.5,35.2,21.3,18.7,0.25
53.5,49.7,0.85,73.9,33.1,18.7,16.1,0.22
52.3,49.2,0.84,74.6,30.4,19.7,20.0,0.27
50.1,48.8,0.78,76.5,24.8,20.1,21.3,0.24
49.9,47.2,0.82,72.8,29.2,19.9,23.6,0.18
49.6,48.6,0.82,72.7,27.7,21.1,21.6,0.25
49.1,51.1,0.81,70.9,26.3,19.5,20.9,0.13
48.6,49.3,0.79,68.7,29.0,19.7,25.1,0.22
48.6,51.3,0.81,71.7,24.2,18.6,17.5,0.22
48.1,45.1,0.79,74.8,26.1,19.1,19.2,0.23
47.4,50.3,0.78,69.6,24.8,17.5,17.8,0.25
47.7,51.2,0.8,71.6,22.7,17.7,20.8,0.22
48.5,47.5,0.75,71.1,28.3,18.0,20.3,0.38
46.3,48.0,0.78,67.1,27.2,19.8,17.9,0.18
46.8,46.3,0.74,72.5,24.7,17.4,15.2,0.1
44.9,47.4,0.74,70.2,22.1,17.7,17.2,0.26
44.6,43.2,0.78,70.2,25.1,19.1,10.6,0.21
64.9,59.6,0.99,82.0,39.7,21.8,33.3,0.28
64.9,59.5,0.95,82.6,39.1,21.4,21.4,0.28
60.8,55.1,0.93,82.9,33.5,21.6,28.4,0.26
62.8,53.9,0.93,80.9,41.6,21.3,28.7,0.25
57.0,56.0,0.97,78.1,29.9,22.9,11.1,0.23
60.1,55.1,0.9,78.4,37.8,22.7,22.2,0.22
59.3,53.8,0.93,79.4,35.7,22.9,20.5,0.23
57.3,56.0,0.89,75.7,34.0,21.6,22.8,0.23
57.7,54.6,0.91,78.0,33.7,20.5,22.6,0.2
55.8,50.5,0.9,76.6,34.7,19.4,15.6,0.2
57.2,53.1,0.95,78.2,33.5,22.2,19.3,0.25
56.8,52.6,0.87,78.5,32.7,20.6,25.7,0.21
56.2,53.0,0.92,79.0,30.3,22.0,17.7,0.2
55.9,55.1,0.87,74.8,32.4,23.0,17.7,0.3
57.6,57.7,0.78,74.9,34.1,20.9,23.4,0.28
53.1,52.6,0.83,72.8,31.2,21.0,27.3,0.24
55.4,48.8,0.85,81.7,30.4,22.1,21.7,0.24
55.3,48.7,0.85,77.7,34.2,21.5,19.4,0.26
57.7,52.2,0.81,78.0,35.5,21.0,22.1,0.26
52.2,52.6,0.86,75.1,26.7,21.5,17.0,0.15
54.7,49.9,0.82,74.6,34.8,19.0,27.6,0.24
53.4,52.2,0.82,74.4,30.7,22.5,18.7,0.2
52.2,51.4,0.84,74.6,28.5,24.4,18.3,0.33
51.6,51.9,0.92,71.8,29.7,19.8,30.4,0.15
52.8,55.4,0.85,72.5,28.5,21.1,21.1,0.28
52.2,49.6,0.82,76.9,28.6,21.5,17.6,0.3
51.6,56.5,0.85,73.3,23.3,20.3,19.4,0.24
54.9,52.7,0.86,77.1,30.1,20.4,17.4,0.18
52.4,51.1,0.82,68.7,35.3,20.8,30.4,0.18
52.3,52.1,0.81,72.9,30.0,19.6,24.4,0.26
50.2,52.3,0.79,72.9,25.4,18.7,20.2,0.14
51.1,50.4,0.85,72.4,29.3,19.9,21.7,0.17
50.4,52.1,0.8,72.4,26.5,19.0,23.9,0.22
49.7,47.0,0.81,72.1,29.9,22.1,19.8,0.27
52.7,50.4,0.85,72.9,32.2,19.7,20.8,0.25
52.0,50.4,0.82,72.8,31.0,20.4,18.4,0.24
49.0,51.4,0.83,69.1,27.6,21.1,19.0,0.23
48.9,50.9,0.83,73.3,23.9,18.3,21.8,0.25
52.0,49.5,0.86,72.8,31.7,22.2,17.7,0.18
50.6,47.5,0.83,72.3,31.0,21.7,16.1,0.22
49.9,49.7,0.84,73.3,26.6,20.3,24.3,0.16
50.9,48.3,0.84,71.9,31.4,20.3,20.5,0.23
50.9,52.8,0.81,73.7,25.4,20.3,22.0,0.28
51.3,50.3,0.81,74.8,27.2,19.9,19.7,0.21
49.5,49.4,0.83,73.6,26.0,19.9,25.6,0.24
47.3,52.5,0.79,66.0,26.7,18.1,22.4,0.22
51.2,50.4,0.81,76.1,26.2,16.9,19.8,0.26
50.2,51.8,0.81,74.4,24.4,18.6,21.8,0.25
49.8,49.4,0.8,71.6,28.5,20.1,24.2,0.24
50.4,53.3,0.8,74.3,23.5,19.6,22.5,0.24
47.8,49.1,0.77,69.3,27.0,20.4,26.7,0.22
49.3,50.1,0.78,71.1,27.5,19.3,22.8,0.28
49.4,45.7,0.8,73.3,29.3,20.3,14.7,0.33
49.6,49.3,0.79,70.8,29.1,20.0,25.6,0.21
48.3,49.3,0.8,71.8,25.4,18.3,23.3,0.17
47.6,51.0,0.81,70.8,23.6,19.1,16.9,0.28
47.9,48.0,0.79,69.4,27.7,20.3,19.3,0.2
48.5,47.8,0.81,70.0,28.7,20.1,28.4,0.2
48.9,50.6,0.8,73.6,23.7,19.2,22.9,0.19
48.9,50.3,0.79,70.7,26.6,21.6,27.5,0.21
47.6,46.3,0.78,73.5,25.2,19.0,25.1,0.2
48.0,43.7,0.82,73.0,28.7,20.0,22.7,0.19
49.0,49.2,0.83,72.6,26.3,19.6,24.4,0.26
47.5,49.6,0.81,69.2,26.4,20.8,18.8,0.2
46.5,46.5,0.79,69.1,26.8,18.9,17.6,0.26
48.4,46.0,0.81,71.1,29.0,17.0,15.1,0.18
47.5,45.5,0.83,72.7,26.5,17.7,18.6,0.2
47.6,52.7,0.79,70.2,22.4,20.2,22.2,0.19
48.0,50.8,0.78,72.2,22.8,20.2,27.0,0.22
46.3,49.1,0.79,69.2,24.2,19.2,19.6,0.29
45.0,50.7,0.79,65.0,24.6,19.6,20.7,0.21
46.3,48.8,0.77,66.3,27.2,19.3,18.2,0.23
46.1,43.9,0.78,71.1,26.5,15.6,15.3,0.18
46.8,45.3,0.77,68.7,28.5,19.5,18.1,0.23
42.8,46.2,0.74,63.5,25.1,17.0,17.4,0.17
44.5,46.9,0.73,67.2,24.4,20.2,20.0,0.22
43.6,45.2,0.77,66.9,24.5,17.6,16.3,0.12
42.5,47.1,0.76,68.8,19.3,19.2,16.4,0.22
63.5,55.4,0.96,85.0,37.2,24.0,25.3,0.28
60.1,52.5,0.9,80.2,37.7,23.2,23.0,0.24
57.7,53.8,0.92,77.4,34.7,21.8,22.7,0.25
55.7,57.2,0.87,75.0,29.5,18.7,16.7,0.3
58.0,53.6,0.89,79.8,32.9,22.5,16.6,0.28
54.2,53.7,0.89,75.2,29.8,23.0,24.4,0.24
55.7,54.7,0.89,78.0,28.6,22.9,18.0,0.18
57.4,51.3,0.88,74.6,39.1,22.6,21.0,0.31
55.1,55.2,0.81,74.7,30.9,20.3,21.4,0.17
56.5,54.3,0.9,78.2,30.7,21.0,16.5,0.25
57.9,57.0,0.84,74.8,35.2,25.9,23.4,0.29
55.0,53.7,0.86,72.5,34.9,22.1,21.2,0.24
53.0,55.3,0.85,72.4,28.7,21.9,25.3,0.16
52.7,52.9,0.84,71.5,31.5,20.5,21.7,0.27
53.1,50.7,0.85,74.6,30.9,22.9,22.0,0.29
53.2,51.7,0.84,74.4,30.3,20.5,24.6,0.24
50.0,56.2,0.82,69.5,25.1,18.4,18.4,0.26
53.4,54.1,0.86,74.9,27.8,18.0,22.0,0.23
53.4,51.2,0.85,73.9,31.8,19.7,21.2,0.25
52.8,52.4,0.86,74.8,28.6,22.9,23.9,0.19
53.2,52.5,0.83,76.4,27.3,20.1,22.3,0.29
52.7,54.2,0.79,75.8,24.6,20.9,25.6,0.23
52.3,53.0,0.86,70.3,31.8,18.2,26.5,0.24
53.1,50.1,0.85,71.4,34.7,21.7,23.2,0.23
54.3,52.6,0.83,72.7,33.8,20.5,24.8,0.23
54.4,53.1,0.87,78.8,27.0,22.3,16.3,0.32
53.2,53.7,0.85,72.3,31.0,20.7,20.6,0.24
54.9,48.8,0.83,76.0,34.8,20.8,17.5,0.28
50.7,50.7,0.81,74.3,26.5,20.9,18.6,0.25
52.7,51.5,0.81,76.0,27.9,18.8,26.9,0.28
53.3,51.6,0.81,76.9,28.3,23.2,20.4,0.21
55.1,50.7,0.79,75.5,34.1,20.5,17.4,0.25
50.1,51.9,0.86,71.6,26.9,20.6,20.7,0.18
51.0,51.7,0.82,69.8,31.0,18.8,29.2,0.21
52.1,48.9,0.83,74.8,30.7,22.2,25.0,0.24
50.9,50.2,0.81,75.3,26.3,18.8,24.2,0.2
50.7,50.4,0.82,73.5,27.6,22.1,16.7,0.21
51.4,54.9,0.82,71.9,26.5,20.0,18.0,0.3
51.5,48.5,0.82,74.9,29.5,20.3,23.3,0.21
51.1,48.7,0.81,75.3,28.1,20.9,22.7,0.15
48.8,47.2,0.82,71.4,28.5,19.3,18.5,0.19
50.3,47.9,0.82,73.6,28.9,19.9,16.8,0.2
50.1,49.9,0.83,70.9,29.4,21.4,18.4,0.19
47.7,51.9,0.82,71.4,22.2,20.1,28.3,0.33
50.2,47.6,0.8,75.6,27.1,19.6,17.3,0.18
49.4,48.7,0.8,70.9,29.0,19.6,15.1,0.16
47.8,50.9,0.76,69.6,25.2,19.2,23.7,0.2
48.4,47.1,0.77,71.4,27.8,19.4,26.3,0.25
50.1,47.7,0.81,70.9,31.2,18.3,23.3,0.23
47.2,42.3,0.84,71.2,29.8,20.8,18.5,0.22
48.9,43.6,0.79,79.9,24.7,21.5,19.8,0.19
47.1,47.6,0.81,70.6,25.8,18.7,17.4,0.18
48.9,51.5,0.81,70.1,26.4,17.9,14.6,0.22
49.6,47.1,0.81,71.6,29.7,20.2,18.4,0.34
50.1,50.4,0.77,71.9,28.0,18.2,21.1,0.18
47.7,50.5,0.76,71.1,24.0,19.4,15.9,0.16
49.0,53.7,0.77,69.5,25.0,17.8,19.5,0.23
47.5,47.0,0.81,70.4,27.1,17.8,19.8,0.18
48.5,48.7,0.82,72.2,26.0,15.9,22.2,0.2
45.8,45.0,0.79,73.4,23.3,20.2,19.9,0.35
45.5,42.7,0.79,70.1,27.1,20.2,23.1,0.19
46.4,51.3,0.73,67.4,24.3,19.9,18.6,0.14
44.8,47.7,0.72,72.4,19.8,18.1,23.1,0.24
44.7,47.3,0.79,67.6,24.0,17.8,18.7,0.18
41.5,48.3,0.72,63.8,20.4,17.3,17.1,0.28
42.5,45.5,0.73,67.0,21.6,17.5,17.3,0.19
42.3,44.9,0.74,69.1,20.5,16.3,11.7,0.18
59.3,56.4,0.9,76.8,36.8,26.9,19.5,0.38
58.5,55.5,0.9,81.5,29.7,18.5,17.5,0.23
57.6,52.8,0.9,77.6,35.2,21.3,21.0,0.19
58.9,52.0,0.9,81.7,34.3,22.1,20.2,0.24
57.5,52.2,0.88,78.9,34.2,23.7,18.5,0.23
56.9,55.9,0.92,76.4,31.8,24.3,22.5,0.18
56.1,55.0,0.83,75.6,32.1,21.1,20.6,0.29
57.6,56.9,0.89,78.2,30.1,19.8,25.2,0.27
54.9,55.3,0.86,75.8,29.0,20.6,28.2,0.21
55.8,53.6,0.86,76.6,31.9,20.2,21.1,0.2
54.9,53.8,0.9,76.0,30.5,20.0,21.8,0.2
55.7,53.1,0.87,77.6,30.9,21.5,23.8,0.18
54.4,53.7,0.82,75.1,30.6,20.1,24.8,0.16
54.8,52.3,0.86,77.3,30.2,19.7,24.6,0.22
53.4,48.5,0.92,75.6,32.5,21.8,17.9,0.28
55.4,56.1,0.9,75.7,29.2,20.6,19.7,0.28
56.1,55.4,0.86,77.0,30.3,19.6,15.9,0.21
53.7,51.1,0.83,72.9,33.7,22.2,19.6,0.28
54.2,50.6,0.88,76.0,31.8,19.2,20.7,0.21
54.5,51.6,0.85,76.4,31.1,23.6,16.7,0.26
53.8,48.6,0.86,78.6,30.4,20.0,15.8,0.21
55.3,53.8,0.85,73.8,33.8,22.5,20.9,0.19
55.0,50.2,0.88,76.1,33.6,18.6,20.5,0.24
53.3,54.4,0.84,75.0,27.7,20.6,19.6,0.26
51.8,50.6,0.87,74.6,28.2,20.7,25.1,0.21
52.2,51.9,0.83,72.6,30.3,20.6,22.5,0.22
52.1,51.1,0.85,77.0,26.1,19.3,18.7,0.22
52.1,51.7,0.83,73.9,28.7,20.0,23.1,0.23
52.7,50.5,0.84,75.1,30.0,19.8,24.4,0.2
50.5,51.5,0.87,69.2,30.7,20.4,22.0,0.19
51.1,50.6,0.85,73.5,27.8,20.2,23.1,0.17
49.7,51.6,0.83,70.2,27.8,21.0,16.7,0.18
51.6,48.7,0.84,70.9,33.3,20.0,18.6,0.26
52.1,49.9,0.83,76.0,28.1,19.9,20.3,0.26
50.8,48.5,0.82,73.2,29.7,18.3,24.1,0.23
51.4,51.8,0.81,74.9,26.2,21.9,20.8,0.2
50.8,49.6,0.8,75.7,26.3,19.8,25.9,0.24
50.0,51.9,0.83,75.7,22.3,18.9,23.0,0.22
51.6,49.1,0.78,74.8,29.2,20.3,25.6,0.19
50.5,46.8,0.83,75.2,28.8,16.8,19.9,0.2
51.1,49.0,0.8,79.7,23.9,21.3,20.4,0.23
49.3,48.7,0.79,70.3,29.4,21.0,25.3,0.24
49.7,50.5,0.77,68.3,30.5,17.7,17.8,0.16
49.4,50.9,0.81,67.9,30.3,20.2,19.4,0.3
49.7,49.7,0.81,73.4,26.3,20.7,23.4,0.3
49.8,49.7,0.81,73.8,26.1,19.2,20.6,0.16
50.7,50.2,0.79,69.4,31.7,20.4,13.4,0.24
47.9,46.6,0.85,68.7,29.6,18.8,20.4,0.22
49.0,48.7,0.75,73.7,25.7,18.6,14.8,0.2
50.3,50.3,0.77,72.4,27.9,19.0,19.9,0.23
50.4,49.9,0.81,73.2,27.8,19.2,18.9,0.21
47.3,49.4,0.78,69.9,25.2,17.7,20.9,0.18
51.2,48.6,0.82,73.0,30.6,19.2,22.3,0.27
48.2,50.8,0.76,69.5,26.3,18.9,19.9,0.22
47.8,49.7,0.8,70.4,25.5,19.7,17.5,0.17
49.5,51.2,0.84,76.2,21.6,20.9,22.4,0.15
49.2,49.2,0.78,77.2,22.3,20.2,19.2,0.25
48.1,47.0,0.82,70.2,28.6,18.4,18.1,0.29
49.0,45.5,0.79,75.1,27.1,21.0,26.1,0.2
48.8,51.1,0.81,70.1,26.5,19.7,20.6,0.15
47.2,47.7,0.76,67.6,28.7,20.4,11.6,0.21
49.2,46.8,0.79,74.9,26.6,18.7,13.6,0.26
46.4,47.0,0.78,68.5,26.6,16.3,25.6,0.14
